attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,Label
95,0,0,0,1,0,1,3,Class_1
92,0,0,0,3,0,0,5,Class_1
100,0,0,0,0,0,0,0,Class_1
96,0,0,0,0,0,0,4,Class_1
95,0,0,0,0,1,0,4,Class_1
96,0,0,0,1,0,0,3,Class_1
91,0,0,0,0,0,0,9,Class_1
97,0,0,0,1,0,0,2,Class_1
97,0,0,0,1,0,0,2,Class_1
92,0,0,0,5,0,0,3,Class_1
92,0,0,0,0,0,2,6,Class_1
99,0,0,0,0,0,0,1,Class_1
97,0,0,0,1,0,0,2,Class_1
98,0,0,0,0,0,0,2,Class_1
99,0,0,0,0,0,0,1,Class_1
93,0,0,0,0,2,0,5,Class_1
98,0,0,0,0,0,0,2,Class_1
95,0,0,0,1,0,0,4,Class_1
98,0,0,0,1,0,0,1,Class_1
88,0,0,0,0,0,4,8,Class_1
94,0,0,0,0,0,1,5,Class_1
93,0,0,0,1,1,0,5,Class_1
97,0,0,0,2,0,0,1,Class_1
94,0,0,0,2,0,1,3,Class_1
99,0,0,0,0,0,0,1,Class_1
93,0,0,0,2,0,2,3,Class_1
96,0,0,0,0,0,0,4,Class_1
97,0,0,0,0,0,0,3,Class_1
95,0,0,0,0,0,1,4,Class_1
99,0,0,0,0,1,0,0,Class_1
0,1,0,98,0,0,0,1,Class_2
0,0,0,100,0,0,0,0,Class_2
0,1,0,99,0,0,0,0,Class_2
0,0,0,100,0,0,0,0,Class_2
0,0,0,100,0,0,0,0,Class_2
0,1,0,96,0,0,2,1,Class_2
0,0,0,100,0,0,0,0,Class_2
0,0,0,100,0,0,0,0,Class_2
0,1,0,98,0,0,0,1,Class_2
0,0,0,97,0,0,2,1,Class_2
0,0,0,99,0,0,0,1,Class_2
0,0,0,99,0,0,0,1,Class_2
0,0,0,100,0,0,0,0,Class_2
0,0,0,98,0,0,0,2,Class_2
0,1,0,98,0,0,0,1,Class_2
0,2,0,98,0,0,0,0,Class_2
0,0,0,99,0,0,0,1,Class_2
0,1,0,93,0,0,3,3,Class_2
